request_method,uri,url_length,num_parameters,special_char_count,path_depth,has_encoded_chars,request_rate,response_code,user_agent_entropy,attack_type
GET,/app/home?id=608,16,1,0,2,0,63,200,4.906438400081661,Normal
GET,/app/login?q=admin'--,21,1,3,2,0,71,500,4.6725267804397355,XSS
GET,/app/home?id=134,16,1,0,2,0,95,200,4.9431520651907785,Normal
GET,/app/login?q=alert(1),21,1,2,2,0,80,500,4.455128107999824,RCE
POST,/app/forum?tag=#security&ref=383,32,3,0,2,0,86,200,1.2306150288428905,Normal
POST,/app/login?redirect=/dashboard&ref=613,38,3,0,3,0,22,200,2.9527327423793235,Normal
POST,/app/home?id=311,16,1,0,2,0,36,200,4.001811167039454,Normal
POST,/app/search?q=| whoami,22,1,1,2,0,87,403,3.6787245049128123,RCE
POST,/app/login?q=alert(1),21,1,2,2,0,80,200,2.8393397179970017,XSS
GET,/app/search?q=| whoami,22,1,1,2,0,35,500,1.1893985623278196,XSS
POST,/app/login?q=1 OR 1=1,21,2,0,2,0,52,500,3.831258867500575,XSS
POST,/app/login?q=id=1',18,2,1,2,0,68,403,2.0943558517196577,RCE
POST,/app/login%3Fq%3D1%20OR%201%3D1,31,0,0,2,1,85,500,2.6450826835748567,RCE
GET,/app/search?q=c++_programming&ref=371,37,3,0,2,0,13,200,4.750916644545574,Normal
GET,/app/login?q=1 OR 1=1,21,2,0,2,0,18,403,2.4652439182310735,RCE
GET,/app/home?id=635,16,1,0,2,0,82,200,1.1798109973119106,Normal
GET,/app/shop?filter=price>100&ref=375,34,3,1,2,0,34,200,4.21997910808837,Normal
POST,/app/note?txt=hello_world!&ref=199,34,3,1,2,0,72,200,4.324256087607791,Normal
GET,/app/home?id=119,16,1,0,2,0,63,200,3.188956170141571,Normal
POST,/app/login?q=1 OR 1=1,21,2,0,2,0,80,500,2.478795120956731,RCE
GET,/app/search?q=| whoami,22,1,1,2,0,66,403,1.0967227692404942,SQL Injection
POST,/app/shop?filter=price>100&ref=407,34,3,1,2,0,8,200,4.293516241090703,Normal
POST,/app/home?id=461,16,1,0,2,0,74,200,1.674321748492122,Normal
GET,/app/login?q=alert(1),21,1,2,2,0,45,403,4.160293757971592,RCE
GET,/app/home?id=995,16,1,0,2,0,58,200,1.0751029316024714,Normal
GET,/app/login?q=admin'--,21,1,3,2,0,76,200,3.1295936059996157,XSS
GET,/app/search%3Fq%3D%7C%20whoami,30,0,0,2,1,86,200,2.128213195553427,SQL Injection
POST,"/app/search?q=UNION SELECT 1,2,3,4,5--",38,1,2,2,0,50,500,2.41676737229105,SQL Injection
POST,/app/login?q=id=1',18,2,1,2,0,21,403,3.1397838487335483,XSS
GET,/app/calc?formula=x*y-z&ref=637,31,3,2,2,0,53,200,1.009694378039287,Normal
GET,/app/search%3Fq%3D%3Cscript%3Ealert%28%27XSS%27%29%3C/script%3E,63,0,0,3,1,46,500,4.554854257780365,XSS
GET,/app/login?q=../../etc/passwd,29,1,0,5,0,18,200,1.0202446715260076,RCE
POST,/app/search?q=ping -c 4 8.8.8.8,31,1,1,2,0,69,403,1.3444379157880162,XSS
POST,/app/login?q=../../etc/passwd,29,1,0,5,0,50,500,2.9653601031821144,SQL Injection
GET,/app/home?id=941,16,1,0,2,0,26,200,3.6491551489542626,Normal
POST,/app/login?q=id=1',18,2,1,2,0,94,200,1.4597191134619436,XSS
GET,/app/search?q=<script>alert('XSS')</script>,43,1,8,3,0,74,500,3.1935550900881275,XSS
GET,/app/login?q=<b onmouseover=x>,30,2,2,2,0,76,200,4.028751212744719,RCE
POST,/app/login?q=id=1',18,2,1,2,0,83,500,3.581500148733255,RCE
GET,/app/calc?formula=x*y-z&ref=267,31,3,2,2,0,33,200,3.396923209139995,Normal
POST,/app/calc?formula=x*y-z&ref=742,31,3,2,2,0,71,200,3.670785764023731,Normal
GET,/app/search?q=cat /etc/shadow,29,1,0,4,0,45,403,4.6819652889134655,XSS
GET,/app/login%3Fq%3D../../etc/passwd,33,0,0,5,1,94,403,3.841265019955724,XSS
GET,/app/home?id=334,16,1,0,2,0,84,200,1.7157823888517507,Normal
POST,/app/login%3Fq%3D%3Cb%20onmouseover%3Dx%3E,42,0,0,2,1,4,200,3.1590095692688926,XSS
POST,/app/home?id=222,16,1,0,2,0,31,200,1.0272858852189368,Normal
POST,/app/search?q=<script>alert('XSS')</script>,43,1,8,3,0,4,200,3.6946421271334056,XSS
POST,/app/note?txt=hello_world!&ref=714,34,3,1,2,0,71,200,1.4344263369559895,Normal
POST,/app/home?id=837,16,1,0,2,0,87,200,3.3953433086272264,Normal
GET,/app/profile?name=O'Brian&ref=882,33,3,1,2,0,90,200,1.0244301029762823,Normal
GET,/app/home?id=447,16,1,0,2,0,5,200,3.6221949878072803,Normal
POST,/app/home?id=936,16,1,0,2,0,56,200,4.917832189687369,Normal
POST,/app/login?q=1 OR 1=1,21,2,0,2,0,91,403,3.645048530684176,RCE
GET,/app/home?id=685,16,1,0,2,0,49,200,2.5142657633519665,Normal
GET,/app/home?id=42,15,1,0,2,0,99,200,4.776072719398808,Normal
GET,/app/home?id=727,16,1,0,2,0,97,200,4.715847763130779,Normal
POST,/app/home?id=948,16,1,0,2,0,7,200,4.654528086696038,Normal
GET,/app/home?id=10,15,1,0,2,0,64,200,2.6816274532022097,Normal
GET,/app/login%3Fq%3Did%3D1%27,26,0,0,2,1,63,500,4.157766858915995,SQL Injection
POST,/app/login?q=../../etc/passwd,29,1,0,5,0,90,500,1.9072968494362796,SQL Injection
POST,/app/login?q=../../etc/passwd,29,1,0,5,0,41,500,1.5831102778699617,XSS
POST,/app/contact?email=user@mail.com&ref=194,40,3,1,2,0,21,200,3.975532673711139,Normal
GET,/app/login?q=admin'--,21,1,3,2,0,3,403,2.175904037440864,RCE
GET,/app/home?id=361,16,1,0,2,0,83,200,1.181255390169484,Normal
GET,/app/contact?email=user@mail.com&ref=423,40,3,1,2,0,7,200,1.8244135437236206,Normal
POST,/app/search?q=| whoami,22,1,1,2,0,34,403,3.0270573667460607,XSS
GET,/app/home?id=583,16,1,0,2,0,8,200,3.7095343278055037,Normal
GET,/app/login?q=alert(1),21,1,2,2,0,87,403,1.9344841604001561,RCE
POST,/app/login%3Fq%3Dadmin%27--,27,0,2,2,1,46,403,1.0034821385416857,XSS
POST,/app/home?id=281,16,1,0,2,0,3,200,3.39212863191421,Normal
POST,/app/contact?email=user@mail.com&ref=712,40,3,1,2,0,18,200,2.8327309462656682,Normal
GET,/app/search?q=union+jack&ref=614,32,3,0,2,0,84,200,1.8219834241466382,Normal
GET,/app/home?id=971,16,1,0,2,0,29,200,4.4285272440524235,Normal
POST,/app/home?id=846,16,1,0,2,0,80,200,3.688488346881697,Normal
POST,/app/search?q=c++_programming&ref=243,37,3,0,2,0,13,200,4.511262041990179,Normal
GET,/app/home?id=368,16,1,0,2,0,83,200,4.187163315589938,Normal
GET,/app/home?id=879,16,1,0,2,0,14,200,2.2356176038017317,Normal
GET,/app/home?id=888,16,1,0,2,0,44,200,4.615382628761324,Normal
POST,/app/login?q=id=1',18,2,1,2,0,64,403,3.29551007198643,SQL Injection
GET,/app/home?id=573,16,1,0,2,0,60,200,4.322920453813637,Normal
POST,/app/search?q=ping -c 4 8.8.8.8,31,1,1,2,0,42,403,1.4470645878232182,XSS
POST,/app/forum?tag=#security&ref=507,32,3,0,2,0,98,200,1.1265244640438783,Normal
GET,/app/search?q=| whoami,22,1,1,2,0,43,500,3.8465590222556907,XSS
GET,/app/home?id=486,16,1,0,2,0,89,200,4.306035190185002,Normal
POST,/app/contact?email=user@mail.com&ref=498,40,3,1,2,0,29,200,4.161709499895794,Normal
GET,/app/home?id=709,16,1,0,2,0,7,200,1.9233112394886396,Normal
GET,/app/profile?name=O'Brian&ref=464,33,3,1,2,0,53,200,3.2050934989389233,Normal
GET,"/app/search?q=UNION SELECT 1,2,3,4,5--",38,1,2,2,0,99,500,3.1514623161833493,RCE
POST,/app/search?q=<script>alert('XSS')</script>,43,1,8,3,0,8,200,4.722911779563905,SQL Injection
POST,/app/note?txt=hello_world!&ref=774,34,3,1,2,0,33,200,3.4466480412286176,Normal
POST,/app/note?txt=hello_world!&ref=107,34,3,1,2,0,9,200,3.0192844503660403,Normal
GET,/app/login?q=<b onmouseover=x>,30,2,2,2,0,98,500,2.3179838608030385,XSS
POST,/app/forum?tag=#security&ref=159,32,3,0,2,0,30,200,3.615161961813634,Normal
GET,/app/search?q=ping -c 4 8.8.8.8,31,1,1,2,0,27,200,3.1960764863787037,RCE
POST,/app/search?q=union+jack&ref=742,32,3,0,2,0,77,200,2.665656429386045,Normal
GET,/app/home?id=346,16,1,0,2,0,71,200,2.7508374458930747,Normal
GET,/app/search?q=| whoami,22,1,1,2,0,9,403,1.1293182293115294,RCE
GET,/app/home?id=325,16,1,0,2,0,52,200,3.007803187702385,Normal
POST,/app/home?id=460,16,1,0,2,0,30,200,1.603817407343132,Normal
POST,/app/search?q=c++_programming&ref=606,37,3,0,2,0,12,200,2.5544911609962577,Normal
POST,/app/home?id=155,16,1,0,2,0,58,200,1.4269014409981908,Normal
POST,/app/home?id=428,16,1,0,2,0,33,200,4.969265399943943,Normal
GET,/app/search?q=cat /etc/shadow,29,1,0,4,0,76,403,1.2873985260060596,RCE
GET,/app/login?redirect=/dashboard&ref=897,38,3,0,3,0,66,200,3.836176810237818,Normal
GET,/app/home?id=895,16,1,0,2,0,45,200,4.718982729622994,Normal
POST,/app/home?id=489,16,1,0,2,0,83,200,2.716500943425685,Normal
POST,/app/shop?filter=price>100&ref=917,34,3,1,2,0,75,200,2.838472290792741,Normal
GET,/app/login?q=1 OR 1=1,21,2,0,2,0,69,500,2.615966604293746,RCE
GET,/app/home?id=580,16,1,0,2,0,100,200,2.0270561807140175,Normal
GET,/app/search?q=ping -c 4 8.8.8.8,31,1,1,2,0,57,500,3.0304449572543275,RCE
GET,/app/profile?name=O'Brian&ref=304,33,3,1,2,0,71,200,2.7356591000353454,Normal
POST,/app/home?id=536,16,1,0,2,0,17,200,1.114433549814927,Normal
GET,/app/login?redirect=/dashboard&ref=583,38,3,0,3,0,60,200,3.481175684389626,Normal
GET,/app/login?redirect=/dashboard&ref=251,38,3,0,3,0,57,200,1.7739970782884318,Normal
GET,/app/login?q=admin'--,21,1,3,2,0,72,200,4.26578248274058,RCE
POST,/app/calc?formula=x*y-z&ref=915,31,3,2,2,0,25,200,3.13598506935822,Normal
GET,/app/login?q=../../etc/passwd,29,1,0,5,0,91,200,3.3220042803637493,SQL Injection
POST,/app/home?id=340,16,1,0,2,0,34,200,4.320809102617552,Normal
POST,/app/search?q=c++_programming&ref=278,37,3,0,2,0,50,200,4.710834611981699,Normal
GET,/app/home?id=447,16,1,0,2,0,13,200,2.0662418704464645,Normal
POST,/app/home?id=600,16,1,0,2,0,64,200,4.534251124551675,Normal
GET,/app/search%3Fq%3D%7C%20whoami,30,0,0,2,1,57,403,2.5151787765369735,SQL Injection
GET,/app/note?txt=hello_world!&ref=347,34,3,1,2,0,23,200,4.218196492356563,Normal
GET,/app/home?id=26,15,1,0,2,0,50,200,3.544972694216222,Normal
POST,/app/login%3Fq%3D1%20OR%201%3D1,31,0,0,2,1,60,500,1.763424764077921,XSS
POST,/app/home?id=533,16,1,0,2,0,54,200,4.457416217796801,Normal
GET,/app/note?txt=hello_world!&ref=716,34,3,1,2,0,19,200,4.344490648672591,Normal
POST,/app/calc?formula=x*y-z&ref=455,31,3,2,2,0,70,200,3.530040920959749,Normal
GET,/app/login%3Fq%3D%3Cb%20onmouseover%3Dx%3E,42,0,0,2,1,87,200,3.074303209381049,XSS
POST,/app/forum?tag=#security&ref=954,32,3,0,2,0,58,200,2.6165626830207263,Normal
POST,/app/home?id=680,16,1,0,2,0,100,200,2.1957711871164114,Normal
POST,/app/search?q=union+jack&ref=639,32,3,0,2,0,64,200,2.3126876641145118,Normal
GET,/app/contact?email=user@mail.com&ref=224,40,3,1,2,0,81,200,4.044396229086617,Normal
POST,/app/search?q=| whoami,22,1,1,2,0,39,403,1.3939903680784345,XSS
POST,/app/home?id=883,16,1,0,2,0,32,200,1.9975503635239908,Normal
GET,/app/home?id=690,16,1,0,2,0,69,200,3.472732713547772,Normal
POST,/app/home?id=238,16,1,0,2,0,81,200,4.063179252044964,Normal
POST,"/app/search?q=UNION SELECT 1,2,3,4,5--",38,1,2,2,0,95,500,1.35464903982869,XSS
GET,/app/home?id=454,16,1,0,2,0,30,200,3.65582662514012,Normal
POST,"/app/search?q=UNION SELECT 1,2,3,4,5--",38,1,2,2,0,70,500,4.54021195139893,SQL Injection
POST,/app/search%3Fq%3DUNION%20SELECT%201%2C2%2C3%2C4%2C5--,54,0,2,2,1,9,500,1.6063539819657637,RCE
POST,/app/home?id=728,16,1,0,2,0,29,200,3.9341617530468587,Normal
GET,/app/home?id=727,16,1,0,2,0,69,200,4.4001469576962835,Normal
GET,/app/login?q=<b onmouseover=x>,30,2,2,2,0,88,200,2.255017524931166,XSS
POST,/app/home?id=460,16,1,0,2,0,84,200,2.3000010916991407,Normal
POST,/app/shop?filter=price>100&ref=769,34,3,1,2,0,12,200,2.467656169248983,Normal
GET,/app/search?q=cat /etc/shadow,29,1,0,4,0,80,200,1.8440558359611807,XSS
POST,/app/home?id=851,16,1,0,2,0,10,200,1.5080292439597907,Normal
POST,"/app/search?q=UNION SELECT 1,2,3,4,5--",38,1,2,2,0,74,403,1.8590082562483699,XSS
POST,/app/forum?tag=#security&ref=692,32,3,0,2,0,77,200,3.6408081039015356,Normal
GET,/app/search?q=union+jack&ref=576,32,3,0,2,0,69,200,4.603779002797001,Normal
GET,/app/note?txt=hello_world!&ref=726,34,3,1,2,0,60,200,3.5599070112230655,Normal
GET,/app/home?id=179,16,1,0,2,0,17,200,3.1132439065060615,Normal
POST,/app/search?q=| whoami,22,1,1,2,0,12,500,4.167706633051647,RCE
POST,/app/home?id=706,16,1,0,2,0,31,200,2.4078505271644715,Normal
GET,/app/home?id=543,16,1,0,2,0,66,200,4.781837640817727,Normal
GET,/app/search%3Fq%3DUNION%20SELECT%201%2C2%2C3%2C4%2C5--,54,0,2,2,1,40,200,4.1951063612706445,XSS
GET,/app/home?id=39,15,1,0,2,0,59,200,4.568797451361129,Normal
GET,/app/home?id=705,16,1,0,2,0,4,200,3.244003528238149,Normal
GET,/app/home?id=291,16,1,0,2,0,7,200,2.785759228194835,Normal
POST,"/app/search?q=UNION SELECT 1,2,3,4,5--",38,1,2,2,0,14,200,2.5846317594938193,XSS
GET,/app/login?redirect=/dashboard&ref=980,38,3,0,3,0,14,200,4.167092838166209,Normal
POST,/app/note?txt=hello_world!&ref=859,34,3,1,2,0,92,200,4.169823371695601,Normal
GET,/app/home?id=421,16,1,0,2,0,69,200,3.2196399133551044,Normal
GET,/app/profile?name=O'Brian&ref=597,33,3,1,2,0,65,200,3.0192476771123853,Normal
POST,/app/shop?filter=price>100&ref=250,34,3,1,2,0,26,200,1.5855124301771828,Normal
POST,/app/search?q=union+jack&ref=610,32,3,0,2,0,78,200,1.2919103293236858,Normal
GET,/app/profile?name=O'Brian&ref=261,33,3,1,2,0,53,200,1.0938732272694396,Normal
POST,"/app/search?q=UNION SELECT 1,2,3,4,5--",38,1,2,2,0,52,500,2.4685630093630997,RCE
GET,/app/search?q=c++_programming&ref=447,37,3,0,2,0,13,200,1.0147934415366113,Normal
POST,/app/login?q=1 OR 1=1,21,2,0,2,0,50,200,1.2544174507918244,SQL Injection
GET,/app/search%3Fq%3D%3Cscript%3Ealert%28%27XSS%27%29%3C/script%3E,63,0,0,3,1,61,403,1.3712086234002316,XSS
GET,/app/search?q=c++_programming&ref=816,37,3,0,2,0,26,200,4.04781565009851,Normal
POST,/app/home?id=201,16,1,0,2,0,71,200,3.962028340536714,Normal
GET,/app/home?id=937,16,1,0,2,0,67,200,3.6376756754790995,Normal
POST,/app/login?q=id=1',18,2,1,2,0,27,500,3.2597848304714523,SQL Injection
POST,/app/home?id=272,16,1,0,2,0,64,200,4.665030767944417,Normal
POST,/app/home?id=176,16,1,0,2,0,16,200,2.821076812085745,Normal
GET,/app/home?id=710,16,1,0,2,0,74,200,4.411595835310687,Normal
GET,/app/login?q=1 OR 1=1,21,2,0,2,0,92,500,4.461605144800389,SQL Injection
POST,/app/home?id=33,15,1,0,2,0,22,200,1.0289706087634878,Normal
GET,/app/login?q=1 OR 1=1,21,2,0,2,0,29,500,2.399765966144584,SQL Injection
POST,/app/calc?formula=x*y-z&ref=783,31,3,2,2,0,49,200,3.715468899549015,Normal
POST,/app/home?id=765,16,1,0,2,0,96,200,4.382322973789103,Normal
GET,/app/note?txt=hello_world!&ref=813,34,3,1,2,0,22,200,1.811489045296788,Normal
POST,/app/contact?email=user@mail.com&ref=344,40,3,1,2,0,18,200,2.4555602666182366,Normal
GET,/app/search?q=<script>alert('XSS')</script>,43,1,8,3,0,30,403,4.290278537142719,RCE
POST,/app/login%3Fq%3Dadmin%27--,27,0,2,2,1,35,200,2.8656234301146117,RCE
POST,/app/home?id=607,16,1,0,2,0,16,200,3.062546872233673,Normal
POST,/app/search?q=c++_programming&ref=690,37,3,0,2,0,1,200,4.9261553801391935,Normal
POST,/app/note?txt=hello_world!&ref=371,34,3,1,2,0,89,200,3.9428293031756954,Normal
GET,/app/note?txt=hello_world!&ref=264,34,3,1,2,0,54,200,4.95919522213897,Normal
GET,/app/home?id=592,16,1,0,2,0,79,200,4.5760816802818844,Normal
POST,/app/search%3Fq%3D%3Cscript%3Ealert%28%27XSS%27%29%3C/script%3E,63,0,0,3,1,38,200,4.497600264281418,SQL Injection
POST,/app/contact?email=user@mail.com&ref=391,40,3,1,2,0,12,200,4.0792549955547805,Normal
POST,/app/login?q=../../etc/passwd,29,1,0,5,0,34,403,4.0716671387782135,SQL Injection
GET,/app/search?q=ping -c 4 8.8.8.8,31,1,1,2,0,64,500,3.1332875310812596,RCE
POST,/app/profile?name=O'Brian&ref=988,33,3,1,2,0,91,200,2.5053373957869627,Normal
GET,/app/search?q=union+jack&ref=837,32,3,0,2,0,88,200,3.9342062084253264,Normal
GET,/app/search?q=cat /etc/shadow,29,1,0,4,0,88,403,3.490353183432451,RCE
POST,/app/login?redirect=/dashboard&ref=763,38,3,0,3,0,44,200,1.2682059631976683,Normal
POST,/app/login%3Fq%3D../../etc/passwd,33,0,0,5,1,72,500,4.028342121080176,RCE
GET,/app/home?id=957,16,1,0,2,0,17,200,3.521284328776871,Normal
POST,/app/home?id=64,15,1,0,2,0,67,200,2.7882264520748996,Normal
POST,/app/home?id=123,16,1,0,2,0,30,200,3.2098689338109536,Normal
POST,/app/search?q=union+jack&ref=168,32,3,0,2,0,30,200,1.1011893408473457,Normal
POST,/app/home?id=880,16,1,0,2,0,22,200,1.1399368249659054,Normal
GET,/app/search?q=cat /etc/shadow,29,1,0,4,0,88,403,2.9948297940209216,RCE
POST,/app/home?id=364,16,1,0,2,0,78,200,1.4799816437404552,Normal
POST,/app/contact?email=user@mail.com&ref=951,40,3,1,2,0,99,200,1.887085381974452,Normal
GET,/app/home?id=587,16,1,0,2,0,52,200,3.6574905556236397,Normal
POST,/app/home?id=193,16,1,0,2,0,21,200,4.812597400439085,Normal
POST,/app/home?id=100,16,1,0,2,0,56,200,3.633478714989541,Normal
GET,/app/login?q=admin'--,21,1,3,2,0,11,403,3.030034622038886,RCE
POST,/app/search?q=c++_programming&ref=677,37,3,0,2,0,58,200,3.430643557170451,Normal
GET,/app/calc?formula=x*y-z&ref=100,31,3,2,2,0,20,200,2.086618568719971,Normal
GET,/app/login?q=<b onmouseover=x>,30,2,2,2,0,11,200,4.1493884060967705,XSS
GET,/app/home?id=579,16,1,0,2,0,73,200,2.3450442111275716,Normal
GET,/app/forum?tag=#security&ref=151,32,3,0,2,0,35,200,1.6242320341896899,Normal
GET,/app/home?id=750,16,1,0,2,0,23,200,2.9790199607677175,Normal
GET,/app/home?id=44,15,1,0,2,0,92,200,4.067644284703766,Normal
GET,/app/home?id=320,16,1,0,2,0,54,200,4.746363811940659,Normal
POST,/app/search?q=c++_programming&ref=664,37,3,0,2,0,26,200,2.2878566643616955,Normal
GET,/app/login?q=1 OR 1=1,21,2,0,2,0,67,500,2.3431999322533965,XSS
POST,/app/contact?email=user@mail.com&ref=641,40,3,1,2,0,86,200,4.817261709137945,Normal
POST,/app/home?id=575,16,1,0,2,0,5,200,4.647808073233119,Normal
GET,/app/search?q=c++_programming&ref=674,37,3,0,2,0,60,200,4.024375290104679,Normal
GET,/app/search%3Fq%3Dping%20-c%204%208.8.8.8,41,0,1,2,1,42,500,4.5294601066075515,RCE
POST,/app/home?id=792,16,1,0,2,0,70,200,1.6094999514818693,Normal
POST,/app/home?id=728,16,1,0,2,0,81,200,1.3618793152924358,Normal
POST,/app/shop?filter=price>100&ref=420,34,3,1,2,0,46,200,2.84912739808311,Normal
POST,/app/home?id=826,16,1,0,2,0,16,200,4.156967496345445,Normal
POST,/app/home?id=432,16,1,0,2,0,1,200,1.8882054066384923,Normal
POST,/app/profile?name=O'Brian&ref=623,33,3,1,2,0,30,200,2.392874350724669,Normal
POST,/app/home?id=792,16,1,0,2,0,86,200,2.7534270845949624,Normal
GET,/app/search?q=<script>alert('XSS')</script>,43,1,8,3,0,71,403,4.934422162086449,RCE
GET,/app/search?q=union+jack&ref=677,32,3,0,2,0,63,200,1.4285830265306712,Normal
POST,/app/search?q=| whoami,22,1,1,2,0,91,403,1.20313444478994,XSS
GET,/app/search%3Fq%3D%3Cscript%3Ealert%28%27XSS%27%29%3C/script%3E,63,0,0,3,1,19,403,4.1751811856970775,SQL Injection
POST,/app/home?id=479,16,1,0,2,0,23,200,4.673877940549333,Normal
POST,/app/home?id=927,16,1,0,2,0,93,200,2.253750120533341,Normal
POST,/app/login?q=1 OR 1=1,21,2,0,2,0,56,500,4.12895569762815,SQL Injection
POST,/app/search?q=union+jack&ref=434,32,3,0,2,0,12,200,1.0198529367740155,Normal
GET,/app/home?id=457,16,1,0,2,0,52,200,2.734612707644167,Normal
GET,/app/home?id=277,16,1,0,2,0,88,200,4.268861215137241,Normal
POST,/app/search?q=c++_programming&ref=975,37,3,0,2,0,58,200,3.6469883399734346,Normal
POST,/app/search?q=| whoami,22,1,1,2,0,93,200,3.588118854801263,RCE
POST,/app/contact?email=user@mail.com&ref=911,40,3,1,2,0,29,200,3.776484078581535,Normal
POST,/app/calc?formula=x*y-z&ref=586,31,3,2,2,0,38,200,2.3589946266218127,Normal
GET,/app/login?q=../../etc/passwd,29,1,0,5,0,16,500,3.0985438860428447,SQL Injection
POST,/app/login?q=1 OR 1=1,21,2,0,2,0,81,500,4.904807749471356,XSS
GET,/app/login?q=<b onmouseover=x>,30,2,2,2,0,30,200,3.2733356360061925,SQL Injection
GET,/app/note?txt=hello_world!&ref=225,34,3,1,2,0,5,200,3.313255003858576,Normal
POST,/app/search%3Fq%3D%3Cscript%3Ealert%28%27XSS%27%29%3C/script%3E,63,0,0,3,1,58,403,1.6997512633291096,RCE
POST,/app/search%3Fq%3Dcat%20/etc/shadow,35,0,0,4,1,96,200,3.110344393822817,SQL Injection
POST,/app/profile?name=O'Brian&ref=246,33,3,1,2,0,70,200,4.365680959345489,Normal
GET,/app/home?id=222,16,1,0,2,0,74,200,3.832503105738669,Normal
GET,/app/login?redirect=/dashboard&ref=952,38,3,0,3,0,15,200,3.5592825682195723,Normal
GET,/app/search?q=union+jack&ref=529,32,3,0,2,0,9,200,4.665402049709635,Normal
POST,/app/shop?filter=price>100&ref=282,34,3,1,2,0,20,200,1.983941119100506,Normal
GET,/app/note?txt=hello_world!&ref=867,34,3,1,2,0,80,200,3.6559661146815303,Normal
